3860-2017-05-21_98_Luzerner_Kantonalschwingfest-ST

1a;Nötzli Bruno;***;;;;;;;;;58.5
+;4;8.75;Hegner Ueli (1999);*;13;55.0;5;8.5;1;-0.25;10.0
-;5;18.75;Kennel Stefan;**;9;56.0;5;18.75;0;0.0;8.75
+;8;27.5;Vogel Manuel;;13;55.0;5;28.25;-3;0.75;9.75
+;8;37.25;Fischer Tobias;;16;54.25;9;37.0;1;-0.25;10.0
-;5;47.25;Rüttimann Daniel;;11;55.5;7;46.75;2;-0.5;8.75

9d;Kennel Stefan;**;;;;;;;;;56.0
-;;;Imboden Roger;**;;;;;;;8.75
+;4;8.75;Dissler Philipp;;8;56.25;1;10.0;-3;1.25;10.0
-;5;18.75;Binggeli Stefan;*;9;56.0;5;18.75;0;0.0;8.75
+;8;27.5;Gerber Peter;;7;56.5;5;28.25;-3;0.75;10.0
+;7;37.5;Zgraggen Fabian;*;11;55.5;8;37.25;1;-0.25;10.0
o;4;47.5;Fankhauser Erich;***;4;57.25;5;47.25;1;-0.25;8.5

9e;Gwerder Dario;**;;;;;;;;;56.0
-;;;Brun Jonas;**;;;;;;;8.75
+;4;8.75;Eiholzer Roy;;12;55.25;1;10.0;-3;1.25;9.75
+;6;18.5;Vogel Manuel;;13;55.0;2;19.75;-4;1.25;10.0
-;4;28.5;Gloggner Philipp;***;3;57.5;3;28.75;-1;0.25;9.0
+;7;37.5;Schmidiger Marco;;12;55.25;5;38.0;-2;0.5;10.0
o;4;47.5;Wicki Joel;**;3;57.5;4;47.5;0;0.0;8.5

9f;Kälin Roland;**;;;;;;;;;56.0
+;;;Dober Adrian;**;;;;;;;9.75
o;2;9.75;Wicki Joel;**;3;57.5;3;9.0;1;-0.75;8.5
+;7;18.25;Bachmann Adrian;;15;54.5;5;18.75;-2;0.5;9.75
-;6;28.0;Dissler Philipp;;8;56.25;4;28.5;-2;0.5;9.0
-;9;37.0;Bürli Roger;**;14;54.75;8;37.25;-1;0.25;9.0
+;10;46.0;Ziegler Elias (1999);;15;54.5;10;46.0;0;0.0;10.0

10a;Briker Michael;*;;;;;;;;;55.75
o;;;Zurfluh Roman;*;;;;;;;8.75
