3077-2016-06-19_101_Basellandschaftliches_Kantonalschwingfest-ST

1a;Erb Roger;**;;;;;;;;;58.75
+;5;8.5;Burkhardt Roy;;20;53.0;5;8.5;0;0.0;10.0
o;6;18.5;Huber Cédric;**;4;57.0;5;18.75;-1;0.25;8.5
+;9;27.0;Bonato Raphael;;31;34.25;14;25.5;5;-1.5;10.0
+;8;37.0;Brun Samuel (1999);*;11;55.25;8;37.0;0;0.0;9.75
o;8;46.75;Hasler Manuel;*;4;57.0;6;47.25;-2;0.5;8.5

12a;Brügger Joël (2000);;;;;;;;;;55.0
+;;;Hitz Florian (1999);;;;;;;;10.0
-;1;10.0;Allenbach Björn;;10;55.5;1;10.0;0;0.0;9.0
o;4;19.0;Hermann Oliver;*;11;55.25;6;18.5;2;-0.5;8.5
-;7;27.5;Stegmüller Klemens;*;14;54.5;10;26.75;3;-0.75;9.0
+;10;36.5;Reinhard Adrian;;18;53.5;12;36.0;2;-0.5;10.0
o;9;46.5;Steinmann Yves;*;7;56.25;10;46.25;1;-0.25;8.5

12b;Schudel Simon;*;;;;;;;;;55.0
o;;;Stoffel Marc;**;;;;;;;8.5
o;5;8.5;Schaffner Samuel;**;9;55.75;5;8.5;0;0.0;8.5
+;12;17.0;Schwob Marco;;16;54.0;7;18.25;-5;1.25;9.75
+;10;26.75;Reinhard Adrian;;18;53.5;7;27.5;-3;0.75;9.75
+;10;36.5;Imobersteg Tobias (1998);;18;53.5;10;36.5;0;0.0;10.0
